s	Lv	Rv	Ld	Rd
0	-1.00000001490116E-4	2.59999990463257E-4	-0.00221000003814697	5.29999971389771E-4
0.25	-5.00000007450581E-5	5.29999971389771E-4	-0.00198000001907349	5.79999983310699E-4
0.5	-7.00000002980232E-5	7.79999971389771E-4	-0.00166999995708466	4.79999989271164E-4
0.75	-3.99999991059303E-5	0.00102999997138977	-0.00124000000953674	4.09999996423721E-4
1	-5.99999986588955E-5	0.00116999995708466	-7.09999978542328E-4	4.49999988079071E-4
1.25	-1.09999999403954E-4	0.00128999996185303	-2.59999990463257E-4	5.50000011920929E-4
1.5	-1.40000000596046E-4	0.00130999994277954	3.99999991059303E-5	6.80000007152557E-4
1.75	-1.40000000596046E-4	0.00137000000476837	1.70000001788139E-4	6.99999988079071E-4
2	-5.00000007450581E-5	0.00137999999523163	2.30000004172325E-4	7.40000009536743E-4
2.25	5.99999986588955E-5	0.00147000002861023	3.00000011920929E-4	7.90000021457672E-4
2.5	2.5E-4	0.0015	3.79999995231628E-4	8.79999995231628E-4
2.75	4.00000005960464E-4	0.00147000002861023	4.49999988079071E-4	0.001
3	5.40000021457672E-4	0.00146000003814697	4.90000009536743E-4	9.59999978542328E-4
3.25	6.10000014305115E-4	0.00137999999523163	5.40000021457672E-4	8.79999995231628E-4
3.5	6.99999988079071E-4	0.00133000004291534	6.70000016689301E-4	6.20000004768372E-4
3.75	6.60000026226044E-4	0.00121000003814697	7.79999971389771E-4	3.70000004768372E-4
4	6.10000014305115E-4	0.00105999994277954	9.20000016689301E-4	1.70000001788139E-4
4.25	5.60000002384186E-4	9.10000026226044E-4	0.00102999997138977	2.99999993294477E-5
4.5	5.19999980926514E-4	7.69999980926514E-4	0.00100999999046326	-3.99999991059303E-5
4.75	4.79999989271164E-4	6.89999997615814E-4	9.20000016689301E-4	-1.59999996423721E-4
5	4.00000005960464E-4	6.20000004768372E-4	7.40000009536743E-4	-1.80000007152557E-4
5.25	3.40000003576279E-4	5E-4	6.10000014305115E-4	-1.80000007152557E-4
5.5	2.59999990463257E-4	3.60000014305115E-4	3.79999995231628E-4	-2.09999993443489E-4
5.75	1.89999997615814E-4	2.59999990463257E-4	1.29999995231628E-4	-3.10000002384186E-4
6	1.59999996423721E-4	2.19999998807907E-4	-1.19999997317791E-4	-4.09999996423721E-4
6.25	1.19999997317791E-4	2.19999998807907E-4	-3.60000014305115E-4	-5.09999990463257E-4
6.5	1.40000000596046E-4	2.39999994635582E-4	-5.69999992847443E-4	-6.29999995231628E-4
6.75	1.19999997317791E-4	3.19999992847443E-4	-7.90000021457672E-4	-7.30000019073486E-4
7	2.19999998807907E-4	4.6000000834465E-4	-9.49999988079071E-4	-7.40000009536743E-4
7.25	3.60000014305115E-4	6.49999976158142E-4	-0.0010900000333786	-7.40000009536743E-4
7.5	5.50000011920929E-4	9.10000026226044E-4	-0.00126999998092651	-6.29999995231628E-4
